County_FIPS,Customers
20139,10783
20141,1752
20143,1406
20145,5884
20147,3109
20149,9791
20151,8329
20153,2008
20155,35754
20157,2731
20159,2664
20161,18190
20163,2677
20165,1399
20167,5948
20169,14835
20171,3961
20173,255977
20175,8330
20177,101321
20179,1648
20181,5649
20183,2010
20185,1665
20187,1004
20189,3339
20191,8773
20193,7359
20195,1597
20197,1633
20199,1427
20201,2452
20203,2012
20205,7232
20207,1911
20209,34391
21001,10660
21003,11953
21005,11516
21007,4230
21009,24665
21011,6489
21013,12248
21015,74771
21017,7414
21019,27789
21021,16810
21023,3833
21025,7915
21027,13773
21029,40366
21031,6824
21033,5933
21035,25554
21037,38975
21039,2244
21041,6325
21043,12835
21045,8794
21047,36367
21049,18710
21051,11735
21053,6743
21055,4136
21057,3483
21059,52705
21061,6505
21063,4390
21065,7224
21067,170657
21069,7871
21071,20057
21073,25840
21075,4089
21077,4358
21079,8676
21081,10264
21083,19692
21085,14255
21087,6326
21089,18179
21091,5170
21093,61032
21095,13700
21097,9604
21099,10882
21101,21493
21103,7357
21105,2285
21107,20238
21109,7104
21111,390033
21113,28534
21115,12834
21117,74546
21119,7061
21121,15272
21123,7475
21125,35907
21127,8553
21129,3961
21131,5295
21133,11069
21135,5886
21137,12841
21139,5667
21141,14637
21143,4392
21145,36761
21147,10586
21149,4361
21151,48463
21153,6548
21155,10962
21157,18536
21159,6097
21161,9434
21163,18076
21165,3601
21167,11645
21169,6226
21171,6991
21173,15495
21175,8162
21177,14901
21179,22386
21181,3502
21183,12868
21185,27365
21187,5563
21189,2420
21191,6272
21193,16228
21195,31507
21197,8244
21199,42258
21201,1161
21203,8013
21205,15098
21207,11596
21209,29867
21211,23928
21213,11898
21215,8434
21217,16754
21219,5306
21221,6398
21223,4257
21225,6794
21227,67855
21229,5512
21231,13422
21233,5270
21235,18361
21237,4146
21239,12322
22001,28983
22003,18160
22005,51706
22007,6738
22009,23447
22011,26155
22013,5075
22015,94184
22017,145518
22019,49912
22021,4046
22023,2695
22025,3902
22027,4896
22029,8638
22031,23052
22033,214590
22035,3227
22037,7347
22039,22432
22041,8528
22043,14064
22045,56791
22047,11710
22049,4755
22051,230746
22053,11412
22055,137688
22057,35705
22059,6475
22061,26566
22063,56101
22065,4477
22067,11166
22069,32940
22071,212936
22073,61793
22075,14010
22077,7258
22079,110551
22081,5806
22083,8935
22085,17148
22087,23169
22089,30265
22091,4162
22093,11499
22095,22092
22097,47280
22099,18207
22101,27709
22103,164188
22105,54543
22107,1600
22109,40577
22111,7091
22113,25435
22115,39210
22117,18396
22119,18880
22121,10596
22123,4278
22125,6923
22127,8389
23001,77643
23003,42053
23005,227401
23007,20532
23009,31079
23011,87760
23013,15343
23015,23436
23017,38205
23019,88128
23021,10203
23023,24839
23025,19524
23027,22684
23029,15144
23031,76996
24001,32504
24003,253751
24005,370224
24009,39458
24011,17587
24013,71073
24015,57202
24017,73494
24019,18093
24021,132173
24023,13588
24025,112536
24027,146094
24029,10903
24031,395748
24033,349773
24035,26465
24037,55898
24039,14318
24041,29180
24043,65276
24045,61546
24047,31542
24510,277924
25001,118437
25003,99023
25005,284254
25007,20864
25009,216314
25011,57949
25013,196656
25015,101974
25017,434426
25019,680
25021,326357
25023,281672
25025,947211
25027,212617
26001,6050
26003,4553
26005,86725
26007,18236
26009,15641
26011,9864
26013,4824
26015,41952
26017,66162
26019,9545
26021,12805
26023,30687
26025,92794
26027,3423
26029,19983
26031,16118
26033,32743
26035,18061
26037,34028
26039,8218
26041,24519
26043,12110
26045,50376
26047,28796
26049,270247
26051,15201
26053,7394
26055,60521
26057,21004
26059,30914
26061,27579
26063,10545
26065,187698
26067,35242
26069,14310
26071,5890
26073,36507
26075,101260
26077,96417
26079,10279
26081,416077
26083,1356
26085,9226
26087,38363
26089,12357
26091,34336
26093,88113
26095,4746
26097,8757
26099,404553
26101,15177
26103,45262
26105,18909
26107,20608
26109,12072
26111,57350
26113,9559
26115,47260
26117,33946
26119,6073
26121,103718
26123,32058
26125,646293
26127,17738
26129,11681
26131,4246
26133,18272
26135,5044
26137,19174
26139,120140
26141,8198
26143,13780
26145,132604
26147,71469
26149,19440
26151,12899
26153,5611
26155,41361
26157,16639
26159,18916
26161,195553
26163,441528
26165,21518
27001,11677
27003,159251
27005,24622
27007,29065
27009,19602
27011,1766
27013,34191
27015,12921
27017,22459
27019,43054
27021,23771
27023,5934
27025,23550
27027,26598
27029,5121
27031,4280
27033,5353
27035,48618
27037,193827
27039,6199
27041,23496
27043,5867
27045,6865
27047,16219
27049,13457
27051,3371
27053,624985
27055,6647
27057,16671
27059,20627
27061,22613
27063,5169
27065,7031
27067,20235
27069,2662
27071,9083
27073,1882
27075,5952
27077,2644
27079,11683
27081,2548
27083,12443
27085,16570
27087,4068
27089,3652
27091,10513
27093,9659
27095,16515
27097,19525
27099,17846
27101,5226
27103,15048
27105,9001
27107,1952
27109,76519
27111,43936
27113,7940
27115,16386
27117,4666
27119,19237
27121,5930
27123,257190
27125,2280
27127,7964
27129,6578
27131,29247
27133,4958
27135,7663
27137,127172
27139,61831
27141,41598
27143,6912
27145,79310
27147,17365
27149,6634
27151,5384
27153,13003
27155,2357
27157,10731
27159,8800
27161,7916
27163,109959
27165,4294
27167,3109
27169,21651
27171,63435
27173,2324
28001,17358
28003,19940
28005,6825
28007,9398
28009,3973
28011,14482
28013,7468
28015,4105
28017,11632
28019,3216
28021,5967
28023,7062
28025,9476
28027,12025
28029,17728
28031,9565
28033,95122
28035,44433
28037,4359
28039,9353
28041,5264
28043,11017
28045,24430
28047,109081
28049,122216
28051,6634
28053,3331
28055,641
28057,10400
28059,57806
28061,9808
28063,4028
28065,5468
28067,46108
28069,4913
28071,36780
28073,31120
28075,30152
28077,6452
28079,13509
28081,50449
28083,20294
28085,20482
28087,33297
28089,32775
28091,11625
28093,19527
28095,18680
28097,4275
28099,24825
28101,12693
28103,4707
28105,33356
28107,20337
28109,28954
28111,4806
28113,23013
28115,18046
28117,13420
28119,1880
28121,84285
28123,17935
28125,2219
28127,15818
28129,7211
28131,7460
28133,11919
28135,5372
28137,16303
28139,15158
28141,12179
